No.,Time,Source,Destination,Protocol,Length,Info,Frame Type,Frame Control Field
10531,2372.569694,00:0b:57:4b:a7:ba:e8:15,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10532,2372.62121,00:0b:57:4b:a7:ba:e8:15,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10533,2372.626203,00:11:7d:a0:e2:18:4b:7a,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10534,2372.677817,00:11:7d:a0:e2:18:4b:7a,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10535,2372.682816,00:13:a2:c6:b1:5d:a3:9d,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10536,2372.734623,00:13:a2:c6:b1:5d:a3:9d,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10537,2372.739701,00:04:9f:cd:06:b6:4f:60,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10538,2372.791549,00:04:9f:cd:06:b6:4f:60,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10539,2372.796549,00:04:25:cc:a1:e8:ce:27,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10540,2372.84821,00:04:25:cc:a1:e8:ce:27,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10541,2372.853049,00:21:ed:3f:f8:ae:77:ac,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10542,2372.871271,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
10543,2372.90482,00:21:ed:3f:f8:ae:77:ac,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10544,2372.909673,00:11:7d:28:91:26:52:f0,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10545,2372.961182,00:11:7d:28:91:26:52:f0,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10546,2372.966199,00:11:7d:8c:1c:56:c7:f4,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10547,2373.017932,00:11:7d:8c:1c:56:c7:f4,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
